title,year,abstract,journal,authors
Geothermal AI: An Artificial Intelligence for Early Stage Geothermal Exploration,2022,AI The content of this chapter was published in ”The Geothermal Artificial Intelligence for  geothermal exploration” (https://doi.org/10.1016/j.renene.2022.04.113) [35]. For a detailed,NA,['JF Moraga']
… energy integrated with geothermal and solar energy technologies: a comprehensive techno-economic analysis-different climate areas-using artificial intelligent (AI),2023,"of a renewable system based on solar and geothermal energy for power generation and  cooling  The solar collector surface area, geothermal source temperature, steam turbine input",International Journal of Hydrogen Energy,"['E Assareh', 'A Ghafouri']"
A systematic review of data analytics applications in above-ground geothermal energy operations,2024,"This systematic review can be treated as an introduction for new researchers, particularly  geothermal scientists and engineers, to artificial intelligence and data analytics in above-",… and Sustainable Energy …,"['PMB Abrasaldo', 'SJ Zarrouk']"
Modeling subsurface performance of a geothermal reservoir using machine learning,2022,"machine learning (ML) and artificial intelligence (AI) methods has the potential to improve the  economic competitiveness of geothermal  ], generation of geothermal potential maps based",Energies,"['D Duplyakin', 'KF Beckers', 'DL Siler', 'MJ Martin']"
Artificial neural network to predict the thermal drawdown of enhanced geothermal system,2021,thermal drawdown of an enhanced geothermal system (EGS) using artificial neural network  (ANN).  We have performed a quantitative study of geothermal energy production for various,Journal of Energy Resources …,"['SN Pandey', 'M Singh']"
Optimizing the production and injection wells flow rates in geothermal field using artificial intelligence,2019,"In this thesis, Artificial Intelligence (AI) and machine learning ( providing predictive solutions  for the geothermal energy sector, is  AI might provide trustworthy resolutions for geothermal",NA,['MS Ariturk']
… of a combined geothermal and solar heating system as a renewable energy source in a pig house and estimation of energy consumption using artificial intelligence …,2022,This experiment evaluated the performance of a combined geothermal heat pump and  solar  This study also predicts electricity consumption using an artificial intelligence (AI)-based,Animals,"['HS Mun', 'MA Dilawar', 'S Mahfuz', 'KMB Ampode', 'YH Kim']"
Artificial Intelligence Approaches for Sustainable Geothermal Energy Systems: With A Case Study,NA,"Beside all these issues, geothermal energy systems require additional attention for  efficient  geothermal fluid production to generate long-term energy. At this point, artificial intelligence-",NA,"['FST Haklıdır', 'F Özen', 'R Halepmollası', 'Z Korkmaz']"
Application of Artificial Neural Networks in Geothermal system,2020,"neural networks have become the very technology that drives almost every aspect of  artificial intelligence, this is result of the attainment of a technique called backpropagation.",… Workshop on Geothermal …,"['A Yadav', 'A Patel', 'K Yadav', 'A Sircar']"
Comparative data-driven enhanced geothermal systems forecasting models: A case study of Qiabuqia field in China,2023,"An in-depth understanding of potential geothermal  With the development of artificial  intelligence, machine learning  from the machine learning applications in forecasting geothermal",Energy,"['Z Xue', 'K Zhang', 'C Zhang', 'H Ma', 'Z Chen']"
Review of machine learning methods applied to enhanced geothermal systems,2023,"of machine learning (ML) to enhanced geothermal systems ( Machine learning (ML), as an  artificial intelligence algorithm  , is widely applied in the field of geothermal energy (Noye et al.",Environmental Earth Sciences,"['L Wang', 'Z Yu', 'Y Zhang', 'P Yao']"
Current status and construction scheme of smart geothermal field technology,2024,"technologies such as the artificial intelligence. Based on  geothermal field, the smart  geothermal field fully combines information technologies such as big data and artificial intelligence",Petroleum Exploration …,"['LI Gensheng', 'S Xianzhi', 'SHI Yu', 'W Gaosheng']"
… based on a metaheuristic optimization algorithm for the prediction of reservoir temperature using hydrogeochemical data of different geothermal areas in Anatolia …,2022,machine learning methods developed for the classification approach were used to predict  the purpose of the geothermal waters with the help of the geothermal  on artificial intelligence:,Geothermics,"['EV Altay', 'E Gurgenc', 'O Altay', 'A Dikici']"
"Artificial neural network based prediction of reservoir temperature: A case study of Lindian geothermal field, Songliao Basin, NE China",2022,"Since the 1980s, ANN have been a research hotspot in artificial intelligence. ANN processing  units are classified into three types, ie input, output, and hidden layers. The input layer is",Geothermics,"['F Yang', 'R Zhu', 'X Zhou', 'T Zhan', 'X Wang', 'J Dong', 'L Liu']"
Potential impacts of artificial intelligence expert systems on geothermal well drilling costs,1987,"geothermal drilling in the near and long-term, this study has evaluated the impacts of artificial  intelligence  numerous other areas of current and 1 i kely geothermal development, but to",NA,['JV Satrape']
Modeling and prediction of geothermal reservoir temperature behavior using evolutionary design of neural networks,2015,could be strongly used in the exploration process of the geothermal site. Esen et al. applied  artificial intelligence methods such as artificial neural network (ANN) and adaptive neuro-,Geothermics,"['S Porkhial', 'M Salehpour', 'H Ashraf', 'A Jamali']"
Advancing fractured geothermal system modeling with artificial neural network and bidirectional gated recurrent unit,2024,"In this study, we develop a hybrid model (Artificial Neural Networks (ANN) + BiGRU) to  forecast geothermal energy productivity based on multi-factor numerical simulation outcomes. To",Applied Energy,"['Y Li', 'G Peng', 'T Du', 'L Jiang', 'XZ Kong']"
"Prediction of reservoir temperatures using hydrogeochemical data, Western Anatolia geothermal systems (Turkey): a machine learning approach",2020,Machine learning is a technology for data analysis which identifies patterns in  geothermal  reservoir temperatures based on selected hydrogeochemistry data from different geothermal,Natural Resources Research,"['FS Tut Haklidir', 'M Haklidir']"
Application of pattern recognition and classification using artificial neural network in geothermal operation,2018,"predicting Bit condition in geothermal drilling, as an accurate determination of drill bit condition  can efficiently decrease drilling cost of a geothermal well. An artificial neural network can","… , 43rd Workshop on Geothermal …","['HY Priyangga', 'D Ruliandi']"
Modeling of geothermal power system equipped with absorption refrigeration and solar energy using multilayer perceptron neural network optimized with imperialist …,2020,The proposed system is investigated by developing two methods of artificial intelligence (AI)  as well as thermodynamic model. The intelligent methods are multilayer perceptron (MLP),Journal of Cleaner Production,"['A Khosravi', 'S Syri']"
Advances in geothermal energy prospectivity mapping research based on machine learning in the age of big data,2023,This investigation presents aspects of the progress of research into geothermal energy  of  geothermal energy prospectivity mapping. Artificial intelligence (AI) and machine learning (ML),Sustainable Energy Technologies and Assessments,"['Y Li', 'G Ali', 'AR Akbar']"
Technology Intelligence: Geothermal Energy,2024,"geothermal power plants and geothermal heat pumps, which capture steam used for electricity  and heating water, among other roles in buildings. Wells are drilled in geothermal power",… : A Manager's Guide …,"['TU Daim', 'M Zamani', 'AB Naeini']"
Unification of geothermal plants with national grids using artificial intelligence (AI),NA,contribution of geothermal energy to any nation’s energy supply. This paper aims to  provide artificial intelligence-based solutions to unify and coordinate geothermal plants with,Proceedings 46th Workshop on Geothermal …,"['M Dodiya', 'M Shah']"
Power generation prediction of a geothermal-thermoelectric hybrid system using intelligent models,2024,Our choice of methodology includes artificial intelligence algorithms for analyzing real-time  data and developing power generation predictions. Using real-time tank temperatures,Geothermics,"['M Cetin', 'OD Urkan', 'M Hekim', 'E Cetin']"
A fault detection system for a geothermal heat exchanger sensor based on intelligent techniques,2019,"This work deals with a geothermal heat pump facility used to provide thermal  intelligent  models, trained with data from a geothermal heat pump installation. Four different intelligent",Sensors,"['H Aláiz-Moretón', 'M Castejón-Limas']"
Optimizing Geothermal Power Plants Using Artificial Intelligence,2020,This paper has focused on determining the feasibility of Artificial Intelligence’s application  in the optimizing geothermal powerplants in various aspects. The advancements in the domain,Proceedings World Geothermal …,"['JGPMV Sarvaiya', 'M Shah']"
Data-driven geothermal reservoir modeling: Estimating permeability distributions by machine learning,2022,"With artificial intelligence (AI) advancing in leaps and bounds,  popular machine-learning  algorithms to estimate permeability distributions using measurable data in geothermal reservoir",Geosciences,"['A Suzuki', 'K Fukui', 'S Onodera', 'J Ishizaki', 'T Hashida']"
Unlocking hidden geothermal potential: leveraging artificial intelligence for subsurface exploration.,2024,Artificial intelligence plays a critical role in geothermal  Machine learning algorithms can  uncover complex patterns and relationships that aid in the discovery of hidden geothermal,NA,['MM AlGaiar']
Thermoeconomic modeling and artificial neural network optimization of Afyon geothermal power plant,2021,"ANNs are nonlinear information processing systems that copy the human brain’s neural  cells and play an important role in machine learning, artificial intelligence, and data mining [36].",Renewable Energy,"['C Yilmaz', 'I Koyuncu']"
A machine learning approach for mapping the very shallow theoretical geothermal potential,2019,draw their heat from geothermal resources. Here we refer to the heat sources as geothermal  in the sense of being related to heat inside or from the earth. Geothermal energy is currently,Geothermal …,"['D Assouline', 'N Mohajeri', 'A Gudmundsson']"
Machine learning tools for fossil and geothermal energy production and carbon geo-sequestration—a step towards energy digitization and geoscientific digitalization,2022,"expedite the development of relevant machine learning tool and artificial intelligence  technology. Such a team will provide the desired integration of engineering, computation, sensor,",Circular Economy and …,"['S Misra', 'R Liu', 'A Chakravarty', 'K Gonzalez']"
GeoThermalCloud: Machine Learning for Geothermal Resource Exploration,2022,"In this study, we present GeoThermalCloud, a novel machine learning (ML) methodology to   The NMFk algorithm is one of the tools available in the SmartTensors artificial intelligence (AI",… of Machine Learning for …,"['MK Mudunuru', 'VV Vesselinov']"
Applications of intelligent techniques in modeling geothermal heat pumps: an updated review,2022,utilization of intelligent techniques in modeling performance of geothermal heat pumps (GHPs)  are reviewed. The main findings of the reviewed works reveal that intelligent techniques,International Journal of Low-Carbon Technologies,['K Almutairi']
"Powering the Geothermal Energy with AI, ML, and IoT",2023,"In geothermal (GT) energy, elevated ground temperatures  geothermal plants and umpteen  numbers of geothermal springs.  , the roles of artificial intelligence (AI), machine learning (ML)",AI-Powered IoT in the Energy Industry …,"['K Ezhilarasan', 'A Jeevarekha']"
Evaluation of artificial neural networks for the prediction of deep reservoir temperatures using the gas-phase composition of geothermal fluids,2019,", Kenya geothermal field), the most efficient ANN made possible to predict geothermal   the use of ANN as a gas geothermometry tool to predict geothermal reservoir temperatures.",Computers & …,"['D Pérez-Zárate', 'E Santoyo', 'A Acevedo-Anicasio']"
Exploratory analysis of machine learning methods in predicting subsurface temperature and geothermal gradient of Northeastern United States,2021,", there are not many geothermal sites in northeastern states due to  are two most important  geothermal parameters, which have  machine learning successfully in the fields of geothermal",Geothermal Energy,"['A Shahdi', 'S Lee', 'A Karpatne', 'B Nojabaei']"
"Geothermal, oil and gas well subsurface temperature prediction employing machine learning",2022,energy extraction in geothermal development projects. The artificial intelligence expertise  encompasses a vast number of deep learning and machine learning techniques ranging from,47 th workshop on geothermal …,"['A Kshirsagar', 'P Sanghavi']"
Geothermal Reservoir Evaluation Based On Integrated Well Testing and Resistivity Data Using Artificial Intelligence,2022,This research focused on the integration of Olkaria Domes geothermal well testing and  geophysical electromagnetic resistivity data. The aim was to establish an alternative estimation,NA,['SW Namaswa']
Prediction of geothermal originated boron contamination by deep learning approach: at Western Anatolia Geothermal Systems in Turkey,2020,"The possibility of developing deep neural networks with many hidden layers, such as the  human neural system, has been a study field of artificial intelligence since the neural network",Environmental Earth Sciences,"['FS Tut Haklidir', 'M Haklidir']"
Multi-stage artificial neural network structure-based optimization of geothermal energy powered Kalina cycle,2021,"working parameters of the geothermal energy powered Kalina  mass fraction, the geothermal  water outlet temperature at the  Artificial intelligence studies, which began in the first half of",Journal of Thermal Analysis and Calorimetry,['M Senturk Acar']
Automated parameter estimation for geothermal reservoir modeling using machine learning,2024,"Geothermal resources refer to thermal energy stored in the earth’s crust. To harness these  geothermal resources, we use hydrothermal water and steam from geothermal reservoirs.",Renewable Energy,"['A Suzuki', 'S Shi', 'T Sakai', 'K Fukui', 'S Onodera']"
Application of machine learning and well log attributes in geothermal drilling,2022,"studies in the geothermal sectors are limited and as the operations are progressing, we need  to identify such approaches to enhance the efficiency and operability of geothermal drilling.",Geothermics,"['R Kiran', 'P Dansena', 'S Salehi', 'VK Rajak']"
Estimation of static formation temperatures in geothermal wells by using an artificial neural network approach,2010,An artificial neural network (ANN) approach was used to develop a new predictive model   geothermal wells. A three-layer ANN architecture was successfully trained using a geothermal,Computers & …,"['A Bassam', 'E Santoyo', 'J Andaverde']"
Thermo-economic optimization of an enhanced geothermal system (EGS) based on machine learning and differential evolution algorithms,2023,"developed long-term geothermal electricity generation due to the failure in reservoir exploration  until the discovery of borehole GR1 in the Qiabuqia geothermal field, which is located in",Fuel,"['Z Xue', 'S Yao', 'H Ma', 'C Zhang', 'K Zhang', 'Z Chen']"
Assessing the relation between petrophysical and operational parameters in geothermal wells: a machine learning approach,2020,"pursuit of unlocking the geothermal reservoirs is on the uprise. The geothermal reservoirs  are the  However, the technologies implemented in making these geothermal reservoir fields",… of the 45th Workshop on Geothermal …,"['R Kiran', 'S Salehi']"
Recurrent neural networks for short-term and long-term prediction of geothermal reservoirs,2022,"Geothermal energy development involves the extraction of hot fluid or steam from  In a  geothermal field, the hot geothermal fluids are brought to the surface through producers. The",Geothermics,"['A Jiang', 'Z Qin', 'D Faulder', 'TT Cladouhos', 'B Jafarpour']"
Artificial neural networks for the generation of geothermal maps of ground temperature at various depths by considering land configuration,2012,gradient at various depths is very important for people wanting to apply geothermal energy   geothermal temperature profiles for the whole island of Cyprus using artificial intelligence,Energy,"['SA Kalogirou', 'GA Florides', 'PD Pouloupatis']"
Geothermal flow in Northern Morocco: A machine learning approach,2023,"To model the geothermal flow in northern Morocco, we apply a machine learning (ML)   The data includes geothermal flow, geothermal gradient, Bouguer gravity, aero-magnetic",Journal of African Earth …,"['LA Ouzzaouit', 'BEL Ouassif', 'A Idri', 'A Qarbous']"
"Machine learning for geothermal resource exploration in the Tularosa Basin, New Mexico",2023,"In this short paper, we provide a machine learning (ML)-enhanced data-driven concept that  quantifies the important attributes for geothermal resource characterization. Specifically, the",Energies,"['MK Mudunuru', 'B Ahmmed', 'E Rau', 'VV Vesselinov']"
Prediction of geothermal temperature field by multi-attribute neural network,2024,The above researchers’ work on geothermal based on machine learning and deep learning  fully demonstrates the practical significance of using deep learning to predict the geothermal,Geothermal Energy,"['W Gao', 'J Zhao']"
Thermal monitoring and optimization of geothermal district heating systems using artificial neural network: A case study,2012,"based on ANN analysis of geothermal district heating systems including energy and  exergy efficiencies. In this study, a geothermal district heating system is thermodynamically",Energy and Buildings,"['A Keçebaş', 'İ Yabanova']"
… simulation for a novel solar-geothermal cogeneration system with a selection of heat transfer fluids using thermodynamics analysis and ANN intelligent (AI) …,2023,"With advancements in geothermal exploitation  geothermal energy in the future. However,  its scope of application is limited because of the limited temperature achieved by geothermal",Applied Thermal …,"['E Assareh', 'S Hoseinzadeh', 'N Agarwal']"
Application of Artificial Intelligence in static Formation temperature estimation,2023,"geothermal fields using multiple machine learning algorithms. Both artificial intelligence and  non-artificial intelligent  using several machine learning algorithms, including artificial neural",Arabian Journal for Science and Engineering,"['A Al-Fakih', 'S Kaka']"
Machine learning techniques in predicting bottom hole temperature and remote sensing for assessment of geothermal potential in the Kingdom of Saudi Arabia,2023,"resource usage is the limited availability of high-enthalpy geothermal  geothermal fields.  Nevertheless, the direct use of geothermal energy, which involves utilizing geothermal",Sustainability,"['F Alqahtani', 'M Ehsan', 'M Abdulfarraj', 'E Aboud']"
"A machine learning methodology for predicting geothermal heat flow in the Bohai Bay Basin, China",2022,"the measured geothermal gradient in the related areas. Finally, we reclassified the basin  into four different levels of geothermal exploration target areas based on the new GHF maps.",Natural Resources Research,"['J He', 'K Li', 'X Wang', 'N Gao', 'X Mao', 'L Jia']"
Artificial Neural Networks for Geothermal Reservoirs: Implications for Oil and Gas Reservoirs,2022,The Concept of Machine Learning and Deep Learning Machine learning is a branch of  artificial intelligence concerned with the development of computer software that can learn on its,SPE Nigeria Annual …,"['C Dikeh', 'C Ikeokwu', 'TGI Egbe', 'MN Ochuba']"
AOSMA-MLP: A Novel Method for Hybrid Metaheuristics Artificial Neural Networks and a New Approach for Prediction of Geothermal Reservoir Temperature,2024,"This study introduces a novel machine learning approach, named AOSMA-MLP, integrating   of geothermal resources. Additionally, this work compares the basic artificial neural network",Applied Sciences,"['E Gurgenc', 'O Altay', 'EV Altay']"
"Predicting reservoir temperature of geothermal systems in Western Anatolia, Turkey: a focus on predictive performance and explainability of machine learning models",2023,"of geothermal energy exploration and production. The goal of this study was to create five  machine learning  dataset from Western Anatolia geothermal systems, in Turkey. The models",Geothermics,"['B Ibrahim', 'JO Konduah', 'I Ahenkorah']"
Productivity prediction of a multilateral-well geothermal system based on a long short-term memory and multi-layer perceptron combinational neural network,2021,"multilateral-well geothermal system to develop these two kinds of geothermal energy, which   -well geothermal system, and have demonstrated that the multilateral-well geothermal",Applied Energy,"['Y Shi', 'X Song', 'G Song']"
Machine-learning-based proxy modelling for geothermal field development optimisation,2023,of geologic and geophysical data has driven geothermal decision-makers to abandon their   of cutting-edge artificial intelligence (AI) solutions. Since the geothermal industry faces many,Offshore Technology …,"['DA Otchere', 'AHA Latiff', 'MY Taki']"
Deep Geothermal Drilling Real-Time Performance Prediction and Optimization Using Artificial Intelligence Methods,2022,"deep geothermal drilling performance prediction and optimization models based on artificial  intelligence  , plus the final process of artificial intelligence models development are briefly",NA,"['H Knauer', 'S Jamali', 'V Wittig', 'R Bracke']"
Tracing the evolution and charting the future of geothermal energy research and development,2023,Machine learning and artificial intelligence applications need to have an enhanced role  in geothermal energy systems. Deep learning models could use geological and geophysical,… and Sustainable Energy …,"['RV Rohit', 'DC Kiplangat', 'R Veena', 'R Jose']"
Predicting the geothermal heat flux in Greenland: A machine learning approach,2017,"The heat generated at the interior regions of Earth (geothermal heat flux, GHF) can be high  enough to melt the bottom layers of ice sheets, decrease friction between ice and bedrock,",Geophysical …,"['S Rezvanbehbahani', 'LA Stearns']"
Recognition of geothermal surface manifestations: a comparison of machine learning and deep learning,2022,Geothermal resource exploration is the basis for its  first need geothermal potential  mapping and evaluation. The surface manifestations of a geothermal system in a volcanic-geothermal,Energies,"['Y Xiong', 'M Zhu', 'Y Li', 'K Huang', 'Y Chen', 'J Liao']"
Application of Data-Driven Discovery Machine Learning Algorithms in Predicting Geothermal Reservoir Temperature from Geophysical Resistivity Method,2021,resource mapping at the Great Olkaria Geothermal field for  of Olkaria Domes geothermal  well testing temperature and  of the reservoir through machine learning Analytics. To achieve,… Artificial Intelligence,"['S Namaswa', 'J Githiri', 'N Mariita']"
Geothermal power plant system performance prediction using artificial neural networks,2015,"The study conducted in this paper was based on Kamojang Unit 4 geothermal power plant,  which has an installed capacity of 63 MW and generates 60 MW (net) of electrical power.",2015 IEEE Conference on Technologies for …,['D Ruliandi']
A comparative study on ensemble soft-computing methods for geothermal power production potential forecasting,2024,The concept of artificial intelligence is the creation of innovative and intelligent machine   that starts with the production of geothermal fluid from geothermal resources and ends with the re,Energy,"['R Kenanoğlu', 'İ Mert', 'C Baydar', 'Ö Köse', 'H Yağlı']"
"Generating 3D geothermal maps in Catalonia, Spain using a hybrid adaptive multitask deep learning procedure",2022,geothermal resources using numerical techniques due to complexity of the model preparation  (natural state properties of the rocks and geothermal  handled by artificial intelligence (AI),Energies,"['SP Mirfallah Lialestani', 'D Parcerisa', 'M Himi']"
Modeling of a direct expansion geothermal heat pump using artificial neural networks,2014,"in general, and especially in geothermal heat pumps systems.  artificial neural networks  were selected for modeling a particular type of heat pump called direct expansion geothermal",Energy and Buildings,"['JLC Fannou', 'C Rousseau', 'L Lamarche', 'S Kajl']"
"Machine learning to identify geologic factors associated with production in geothermal fields: a case-study using 3D geologic data, Brady geothermal field, Nevada",2021,machine learning (ML) to identify the key geologic factors that contribute to the geothermal  production in Brady geothermal  circulation in the Brady geothermal field. Our results indicate,Geothermal …,"['DL Siler', 'JD Pepin', 'VV Vesselinov', 'MK Mudunuru']"
Approach Evaluates Geothermal Potential in Existing Oil and Gas Wells,2022,(ROI) for either conversion case for geothermal production. All components of the work  flow are evaluated using artificial intelligence algorithms that will help reduce biases in the,Journal of Petroleum Technology,['C Carpenter']
Predicting geothermal heat flow in Antarctica with a machine learning approach,2021,"We present a machine learning approach to statistically derive geothermal heat flow (GHF)   data to the machine learning approach. Finally, we present a new geothermal heat flow map,",Journal of Geophysical Research: Solid …,"['M Lösing', 'J Ebbing']"
Application of machine learning and deep learning in geothermal resource development: Trends and perspectives,2024,"advancements in machine learning and deep learning applications in geothermal resource   It focuses on artificial intelligence's transformative role in the geothermal industry, analyzing",… Underground Science and …,"['A Al‐Fakih', 'A Abdulraheem']"
Machine learning for natural resource assessment: An application to the blind geothermal systems of Nevada,2020,"recent developments and successes in artificial intelligence (AI) and its popular implementations  known as machine learning, especially artificial neural networks including either fully-",… -Geothermal Resources …,"['S Brown', 'M Coolbaugh', 'J DeAngelo', 'J Faulds']"
When less is more: How increasing the complexity of machine learning strategies for geothermal energy assessments may not lead toward better estimates,2023,"for geothermal resources in the western United States using data from the US Geological  Survey's 2008 geothermal  of applying machine learning to the geothermal training data, which",Geothermics,"['SP Mordensky', 'JJ Lipor', 'J DeAngelo', 'ER Burns']"
A review of advanced ground source heat pump control: Artificial intelligence for autonomous and adaptive control,2022,"Geothermal energy has the potential to contribute significantly  Artificial Intelligence, and in  particular Machine Learning, is  rule-based system to artificial neural network-based strategies",… and Sustainable Energy …,"['S Noye', 'RM Martinez', 'L Carnieletto', 'M De Carli']"
Generative AI: Prospects and Applications in Geothermal Energy,NA,"Generative AI, a specialized branch of artificial intelligence,  of generative artificial intelligence  in the geothermal energy.  in this work, namely; geothermal drilling operation, seismic",NA,"['P Ekeopara', 'P Nekekpemi']"
Real-Time Model for Thermal Conductivity Prediction in Geothermal Wells Using Surface Drilling Data: A Machine Learning Approach,2021,"drilling geothermal wells machine-learning workflow to predict the thermal conductivity at  the bit while drilling. In this study, we have used a public data set from Utah FORGE geothermal",… of the 46th Workshop on Geothermal …,"['C Vivas', 'S Salehi']"
Behavioral design to model a reactive decision of an expert in geothermal wells,2005,"In artificial intelligence, the introduction of agents is partially due to the final difficulties when  we try to solve problems considering the features of the external world or when the agent is",International Journal of …,"['AL Laureano-Cruces', 'G Espinosa-Paredes']"
Machine Learning (ML) for subsurface geothermal resource analysis and development,2024,"improvement of geothermal energy extraction technologies. The geothermal energy domain   faced by the oil and gas sector, where Artificial Intelligence (AI) has been utilized to mitigate",NA,['S Mirzayev']
Machine learning for creation of generalized lumped parameter tank models of low temperature geothermal reservoir systems,2017,"geothermal systems who are concerned with use of efficient modelling methods, optimal  production planning and introduction of machine learning techniques to the geothermal sector.",Geothermics,"['Y Li', 'E Júlíusson', 'H Pálsson', 'H Stefánsson', 'A Valfells']"
Machine Learning to Characterize the State of Stress and its Influence on Geothermal Production,2021,using the unsupervised machine learning method of non- our open-source machine learning  and artificial intelligence  The results of our machine-learning studies identified the key,NA,"['VV Vesselinov', 'LP Frash', 'B Ahmmed', 'MK Mudunuru']"
Deep learning for prediction and fault detection in geothermal operations,2021,-time monitoring of geothermal power plants. Measurements collected from geothermal power   We apply our proposed neural network model to field data from a binary cycle geothermal,… on Geothermal …,"['Y Liu', 'W Ling', 'R Young', 'T Cladouhos']"
Reducing the Imbalance Penalty through Artificial Intelligence Methods Geothermal Production Forecasting: A Case Study for Turkey,2023,", since the geothermal generation plants cannot maintain the  In this study, using machine  learning, deep learning and time  installed capacity in terms of geothermal, was predicted for",International Journal of Energy and Power …,"['H Anıl', 'G Kar']"
Prediction modeling for geothermal reservoirs using deep learning,2020,manage our geothermal fields. The fractured nature of geothermal reservoirs causes the   The models were trained on a synthetic geothermal reservoir and our analysis concluded,45th workshop on geothermal …,"['H Gudmundsdottir', 'RN Horne']"
GOOML-finding optimization opportunities for geothermal operations,2022,"Artificial intelligence via reinforcement learning was applied to the  to geothermal operations  and test long-standing paradigms. This is, to our knowledge, the first foray into geothermal",NA,"['P Siratovich', 'G Buster', 'N Taverna', 'A Blair', 'J Weers']"
An evolutionary system for exploitation of fractured geothermal reservoirs,2016,"design an artificial intelligence framework to  artificial intelligence system proposed in this  work, presents its features and explains the motivations for using it to address the geothermal",Computational Geosciences,"['M Castelli', 'A Fumagalli']"
Optimization of production and injection of geothermal fields: a machine learning approach,2020,"the existence of a geothermal field. Since the earth’s crust is thinner under grabens,  geothermal fields may occur  The graben hosts many high enthalpy geothermal fields of Turkey.",… World Geothermal …,"['A Baser', 'S Kucuk', 'O Saracoglu']"
Identification of Undesirable Events in Geothermal Fluid/Steam Production using Machine Learning,2024,"Machine learning (ML), a component of artificial intelligence (AI), centers on discerning  patterns from historical data to forecast outcomes in novel datasets. In contrast to the broader",… on Geothermal …,"['O Khankishiyev', 'S Salehi', 'H Karami']"
